company_code,customer_id,business_type_id,customer_name,currency_id
US001,XPS209,2,"Baker,Elizabeth",1
US001,XYG223,2,"Conway,Nathan",1
US001,RUK240,2,"Lucas,Charles",1
US001,IYR490,2,"Myers,Theresa",1
US001,VRP359,1,"Lee,Amanda",1
US001,CFW803,1,"Gregory,Carolyn",1
US001,KXK633,2,"Mcclain,Jeremy",1
US001,PCB433,2,"Frazier,Robert",1
US001,NCR918,2,"Jennings,Amy",1
US001,ZHL398,2,"Hughes,Sarah",1
US001,MIZ926,2,"Jackson,Michael",1
US001,RBU306,2,"Washington,Gary",1
US001,BTL516,2,"Johnson,David",1
US001,OZO496,1,"Huff,Frank",1
US001,FGA610,1,"Lambert,Lisa",1
US001,TUC333,1,"Flowers,Dorothy",1
US001,EST680,2,"Rogers,Stephen",1
US001,VRQ426,2,"Carlson,Ralph",1
US001,VHK859,2,"Mccarthy,Isabella",1
US001,RSD971,2,"Gordon,Donald",1
US001,ZII301,1,"Johnson,William",1
US001,RLW934,2,"Martin,Carolyn",1
US001,ZER985,1,"Anderson,Abigail",1
US001,DGF420,2,"Byrd,James",1
US001,XAS586,2,"Crawford,Robert",1
US001,SVQ147,1,"Forbes,Amy",1
US001,QCO820,2,"Alexander,Donna",1
US001,GLO297,2,"Morse,Ashley",1
US001,SVN135,2,"Moore,Judith",1
US001,WPP079,2,"Taylor,Matthew",1
US001,EJD466,2,"Mcclain,Robert",1
US001,MPF654,2,"Mitchell,Robert",1
US001,BMR683,1,"Hayes,Frances",1
US001,PPO588,2,"Cote,Gary",1
US001,LYG939,1,"Johnson,Andrea",1
US001,WQB481,2,"Decker,Michael",1
US001,CCN666,1,"Burns,David",1
US001,BOQ737,1,"Young,Richard",1
US001,SOA977,2,"Wilcox,Richard",1
US001,XVN778,2,"Burton,Ryan",1
US001,HZQ529,2,"Bridges,Virginia",1
US001,UKY937,2,"Bishop,Joshua",1
US001,HWV590,2,"Bird,Michael",1
US001,BBT858,1,"Williamson,James",1
US001,VCP993,2,"Russell,Ryan",1
US001,VIK832,2,"Grant,William",1
US001,NTU803,1,"Miller,Anna",1
US001,DGP577,2,"Marshall,James",1
US001,VVN206,1,"Jefferson,James",1
US001,RHB276,1,"Quinn,Gary",1
US001,CZH638,1,"Todd,Jack",1
US001,EBX946,2,"Harrell,Robert",1
US001,HBP724,2,"Jones,Patricia",1
US001,RRJ321,1,"Zamora,Edward",1
US001,WOZ586,2,"Mejia,Scott",1
US001,XHH972,2,"Russo,Joe",1
US001,WZW168,2,"Mclaughlin,Danielle",1
US001,SCC614,2,"Hewitt,Mary",1
US001,PMJ878,1,"Jones,Joseph",1
US001,NEB531,2,"Bailey,Patrick",1
US001,TXV048,2,"Wilson,Tyler",1
US001,XUY896,1,"Williams,Cynthia",1
US001,EBK986,2,"Stephens,Brittany",1
US001,QBW488,1,"Sheppard,Christopher",1
US001,EAU740,1,"Luna,Ronald",1
US001,DHR242,2,"Kelly,Patricia",1
US001,HDL359,1,"Crawford,Charles",1
US001,BCI606,2,"Gonzalez,Jennifer",1
US001,FND647,2,"Rose,Tyler",1
US001,WNM852,2,"Cox,Hannah",1
US001,FXB935,2,"Briggs,James",1
US001,NDD482,2,"Gross,Roy",1
US001,UXE734,1,"Daniels,Thomas",1
US001,JBF112,1,"Johnson,Ashley",1
US001,IVM257,2,"Lee,Julie",1
US001,OTQ749,2,"Ellis,Thomas",1
US001,NKL908,2,"Adams,Michael",1
US001,STG794,2,"Washington,Kenneth",1
US001,VNL468,2,"Spencer,Tyler",1
US001,NRH464,1,"Mcintosh,George",1
US001,BDW634,2,"Clark,Emily",1
US001,ACE579,2,"Young,Jennifer",1
US001,FBL440,2,"Sullivan,Anna",1
US001,OLN939,1,"Dillon,Michael",1
US001,RGA109,1,"Goodman,Lauren",1
US001,BMB543,2,"Wilson,Teresa",1
US001,POD296,1,"Merritt,Kelly",1
US001,ETY825,2,"Mcknight,Gregory",1
US001,UZH879,2,"Mendoza,William",1
US001,OBS680,2,"Adkins,Anthony",1
US001,QMY783,1,"Johnson,Robert",1
US001,QYK859,1,"Spencer,Michael",1
US001,XOE389,2,"Casey,Patrick",1
US001,VFO522,2,"Dyer,Lisa",1
US001,OIS683,1,"Henderson,Megan",1
US001,XJA612,2,"Love,Barbara",1
US001,TXD216,2,"Horton,James",1
US001,BXL506,1,"Williams,Mary",1
US001,GSP420,1,"Keller,Lisa",1
US001,AVH754,2,"Brooks,Jennifer",1
US001,LZF277,2,"Lawrence,Donald",1
US001,XLH990,2,"Waller,Amanda",1
US001,DSJ807,1,"Farley,Brandon",1
US001,EEO196,1,"Sexton,Robert",1
US001,PQX331,2,"Wilson,Barbara",1
US001,WDC529,2,"Ortiz,Robert",1
US001,AJJ370,1,"Clark,Barbara",1
US001,LBR611,1,"Burton,Thomas",1
US001,DNT034,2,"Moore,Amanda",1
US001,CUP538,2,"Randall,Anna",1
US001,OKT160,1,"Small,Brandon",1
US001,BGE855,2,"Munoz,David",1
US001,QBZ308,2,"Tyler,Stephen",1
US001,FDZ846,2,"Davidson,Brandon",1
US001,GBN152,1,"Turner,Peter",1
US001,CWJ413,2,"Foster,Anthony",1
US001,AIP830,1,"Hoover,Noah",1
US001,QHS285,1,"Cantrell,Hannah",1
US001,EGW352,1,"Chambers,John",1
US001,LIP191,2,"Smith,Donna",1
US001,ONZ321,2,"Perry,Charles",1
US001,BDF759,2,"Jones,Abigail",1
US001,NCK539,2,"Cross,Steven",1
US001,LYY943,1,"Haynes,Benjamin",1
US001,GPB947,2,"Wagner,Michelle",1
US001,EWF424,2,"Lopez,Ethan",1
US001,OYU535,2,"Brown,Anna",1
US001,LDR554,1,"Nelson,Hannah",1
US001,ZTE012,2,"Contreras,Randy",1
US001,BCQ035,2,"Vinson,Daniel",1
US001,PWK841,2,"Bailey,Amanda",1
US001,QCK724,2,"Kelly,James",1
US001,JML574,2,"Shannon,James",1
US001,RLW083,2,"Reed,Zachary",1
US001,MUX448,2,"White,Raymond",1
US001,KEW120,1,"Baldwin,Virginia",1
US001,SEO896,2,"Phillips,Jennifer",1
US001,DHQ126,2,"Cameron,Beverly",1
US001,IKT018,1,"Graves,Lauren",1
US001,WTE848,2,"Morgan,Cynthia",1
US001,PSN603,1,"Summers,Samantha",1
US001,DXR816,2,"Orr,Janet",1
US001,UZU828,2,"Mitchell,Joyce",1
US001,FWC241,1,"Richardson,James",1
US001,RQC172,2,"Jones,Samuel",1
US001,GOE035,1,"Moss,John",1
US001,SLW284,2,"Medina,Justin",1
US001,YRW638,2,"Thompson,Richard",1
US001,FFL036,1,"Dickson,Joshua",1
US001,RJO069,2,"Rollins,Jesse",1
US001,ZUZ124,2,"England,Joshua",1
US001,JMQ663,2,"Hoffman,Benjamin",1
US001,ZSF937,2,"Ferguson,Emma",1
US001,KZV522,2,"Jenkins,Donald",1
US001,SHH555,1,"Maldonado,Paul",1
US001,RMM440,2,"Young,Melissa",1
US001,DPP905,2,"Taylor,Bradley",1
US001,GJE356,1,"Ramirez,Natalie",1
US001,WAJ387,2,"Lowe,Rebecca",1
US001,PJN313,1,"Thompson,Jacqueline",1
US001,FMN354,2,"Andrews,Terry",1
US001,TCR201,2,"White,John",1
US001,BCS199,2,"Phelps,James",1
US001,FSL194,2,"Brown,Emma",1
US001,CMQ334,2,"Rush,Lawrence",1
US001,OXI891,1,"Bennett,Harold",1
US001,KFX780,2,"David,Christina",1
US001,ALD921,2,"Robertson,Barbara",1
US001,ZQW759,2,"Simmons,Ralph",1
US001,SDM181,2,"Castillo,Scott",1
US001,ZYN813,2,"Diaz,Patricia",1
US001,TCK439,1,"Carney,Jason",1
US001,FHD268,2,"Ward,Robert",1
US001,YVU306,2,"Atkins,Anthony",1
US001,HVS495,1,"Lott,Ronald",1
US001,QBM873,2,"Ashley,Patricia",1
US001,QBC195,2,"Dunn,Kelly",1
US001,PYY401,2,"Herman,Robert",1
US001,MIK712,2,"Moore,Justin",1
US001,YMO449,1,"Johnson,Mary",1
US001,KTI979,1,"Jordan,Richard",1
US001,ZLV892,2,"Rogers,Noah",1
US001,BIG561,1,"Clark,Samantha",1
US001,WYL352,2,"Myers,Jeremy",1
US001,FKG294,2,"Alexander,Ashley",1
US001,IRL817,1,"Morgan,Nicole",1
US001,RVH978,2,"Wade,Brian",1
US001,CYP406,2,"Ellison,Jesse",1
US001,MKK534,2,"Pierce,Robert",1
US001,ZDU119,2,"Long,Raymond",1
US001,IWR074,1,"Gardner,Jeremy",1
US001,AUO761,2,"Leon,Anthony",1
US001,SKL003,2,"Kaufman,Gregory",1
US001,XIG777,2,"Hines,Thomas",1
US001,JRY311,1,"Peters,Catherine",1
US001,RUN553,2,"Pope,Jeffrey",1
US001,OLK751,2,"Mccormick,John",1
US001,HKI914,1,"Maddox,Robert",1
US001,SZA729,2,"Vasquez,Donald",1
US001,ZVX057,1,"Stewart,Christian",1
